period,indicator_code,indicator_name,value
2025M08,KIFI,Economic_Tendency_Indicator,96.3
2025M08,bhus,Consumer_Confidence,91.6
2025M08,bhusmakro,Consumer_Macro_Index,94.8
2025M08,bhusmikro,Consumer_Micro_Index,89.0
2025M09,BBYG,Construction_Confidence,97.3
2025M09,BTOT,Business_Sector_Confidence,100.0
2025M09,KIFI,Economic_Tendency_Indicator,97.2
2025M09,bhus,Consumer_Confidence,93.2
2025M09,bhusmakro,Consumer_Macro_Index,97.6
2025M09,bhusmikro,Consumer_Micro_Index,90.5
2025M10,KIFI,Economic_Tendency_Indicator,100.8
2025M11,KIFI,Economic_Tendency_Indicator,101.5
2025M12,KIFI,Economic_Tendency_Indicator,103.7
2025M10,BTOT,Business_Sector_Confidence,104.5
2025M11,BTOT,Business_Sector_Confidence,105.5
2025M12,BTOT,Business_Sector_Confidence,107.4
2025M10,BBYG,Construction_Confidence,98.3
2025M11,BBYG,Construction_Confidence,102.1
2025M12,BBYG,Construction_Confidence,100.3
2025M10,bhus,Consumer_Confidence,96.2
2025M11,bhus,Consumer_Confidence,95.7
2025M12,bhus,Consumer_Confidence,95.8
2025M10,bhusmakro,Consumer_Macro_Index,99.7
2025M11,bhusmakro,Consumer_Macro_Index,102.3
2025M12,bhusmakro,Consumer_Macro_Index,101.3
2025M10,bhusmikro,Consumer_Micro_Index,93.4
2025M11,bhusmikro,Consumer_Micro_Index,91.6
2025M12,bhusmikro,Consumer_Micro_Index,93.2
